#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"87,246,309",,"1,035,675 ",,"83,014,518",,"3,196,116","2,910","260,623","3,094","1,039,126,512","3,104,089","334,760,543 ",North America,43230,,,"9,547"
2,India,"43,213,435",,"524,757 ",,"42,648,308",,"40,370",698,"30,729",373,"854,543,282","607,665","1,406,273,121 ",Asia,"332,6802",,,29
3,Brazil,"31,417,341",,"668,007 ",,"30,178,187",,"571,147","8,318","145,798","3,100","63,776,166","295,966","215,484,797 ",South America,73233,,,"2,651"
4,France,"29,753,370",,"148,710 ",,"29,189,275","+22,507","415,385","1,173","453,882","2,269","271,490,188","4,141,529","65,553,127 ",Europe,24410,,,"6,337"
5,Germany,"26,802,782",,"140,115 ",,"25,870,800","+20,400","791,867",631,"317,935","1,662","122,332,384","1,451,111","84,302,592 ",Europe,36021,,,"9,393"
6,UK,"22,382,352",,"179,217 ",,"22,019,878",,"183,257",188,"326,386","2,613","522,526,476","7,619,623","68,576,419 ",Europe,33830,,,"2,672"
7,Russia,"18,373,184","+3,627","379,955 ",+72,"17,791,081","+4,827","202,148","2,300","125,796","2,601","273,400,000","1,871,890","146,055,597 ",Europe,83841,25,0.5,"1,384"
8,S. Korea,"18,218,078","+8,428","24,351 ",+10,"17,969,644","+26,295","224,083",101,"354,751",474,"15,804,065","307,744","51,354,600 ",Asia,"32,1093",164,0.2,"4,363"
9,Italy,"17,611,607",,"167,305 ",,"16,820,881",,"623,421",196,"292,116","2,775","222,710,598","3,694,005","60,289,733 ",Europe,33600,,,"10,340"
10,Turkey,"15,072,747",,"98,965 ",,"14,971,256",,"2,526",975,"175,069","1,149","162,743,369","1,890,251","86,096,162 ",Asia,68701,,,29
11,Spain,"12,478,994",,"107,108 ",,"11,939,322",,"432,564",339,"266,703","2,289","471,036,328","10,067,065","46,789,835 ",Europe,44370,,,"9,245"
12,Vietnam,"10,729,681",,"43,082 ",,"9,540,598",,"1,146,001",62,"108,343",435,"85,819,211","866,561","99,034,264 ",Asia,"92,2991",,,"11,572"
13,Argentina,"9,276,618",,"128,973 ",,"8,895,999",,"251,646",344,"201,671","2,804","35,716,069","776,458","45,998,739 ",South America,53571,,,"5,471"
14,Japan,"9,023,920","+15,790","30,866 ",+22,"8,825,014","+24,707","168,040",69,"71,774",246,"53,873,182","428,493","125,727,051 ",Asia,"144,0732",126,0.2,"1,337"
15,Netherlands,"8,101,839",,"22,332 ",,"8,042,086",,"37,421",33,"470,811","1,298","21,107,399","1,226,585","17,208,269 ",Europe,27711,,,"2,175"
16,Australia,"7,595,482","+23,860","9,024 ",+67,"7,338,045",,"248,413",98,"291,319",346,"72,684,060","2,787,744","26,072,718 ",Australia/Oceania,"32,8890",915,3,"9,528"
17,Iran,"7,233,472",,"141,343 ",,"7,058,349",,"33,780",397,"84,037","1,642","52,298,398","607,595","86,074,401 ",Asia,126092,,,392
18,Colombia,"6,117,847",,"139,894 ",,"5,943,925",,"34,028",342,"117,803","2,694","35,175,528","677,326","51,932,935 ",South America,83711,,,655
19,Indonesia,"6,059,363",,"156,638 ",,"5,898,384",,"4,341","2,771","21,709",561,"99,392,799","356,089","279,123,556 ",Asia,"461,7823",,,16
