S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,9% NIC Asia Debenture 2081/82,1,926.10,926.10,926.10,25.00,23152.50,945.00,-18.90 ,                                             ,
2,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,12,850.00,840.00,845.00,145.00,122585.40,865.00,-20.00 ,                                             ,
3,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,6,398.50,390.76,398.50,30.00,11818.00,390.76,7.74 ,                                            ,
4,Agricultural Development Bank Limited,143,339.90,326.00,335.60,8784.00,2909257.90,335.00,0.60 ,                                            ,
5,Ajod Insurance Limited,25,499.00,480.00,490.00,520.00,255100.00,495.00,-5.00 ,                                             ,
6,Ankhu Khola Jalvidhyut Company Ltd,132,223.30,214.00,215.00,22773.00,4916055.00,219.00,-4.00 ,                                             ,
7,Api Power Company Ltd.,316,275.00,266.00,271.10,55146.00,14981696.90,273.50,-2.40 ,                                             ,
8,Arun Kabeli Power Ltd.,266,455.00,444.00,447.00,39196.00,17588780.10,450.00,-3.00 ,                                             ,
9,Arun Valley Hydropower Development Co. Ltd.,267,403.00,393.10,394.00,46998.00,18665906.80,398.50,-4.50 ,                                             ,
10,Asha Laghubitta Bittiya Sanstha Ltd,24,1272.00,1230.00,1271.00,1091.00,1369389.50,1248.00,23.00 ,                                            ,
11,Asian Life Insurance Co. Limited,155,567.00,548.80,553.00,37069.00,20548102.80,560.00,-7.00 ,                                             ,
12,Balephi Hydropower Limited,39,271.20,251.50,271.20,400.00,107996.00,246.60,24.60 ,                                            ,
13,Bank of Kathmandu Ltd.,137,235.90,225.00,235.50,35945.00,8329188.90,233.00,2.50 ,                                            ,
14,Barun Hydropower Co. Ltd.,84,463.00,448.90,450.00,14877.00,6723672.20,459.00,-9.00 ,                                             ,
15,Best Finance Company Ltd.,75,383.00,371.00,374.00,6226.00,2332391.00,382.20,-8.20 ,                                             ,
16,Bishal Bazar Company Limited,11,3599.90,3540.00,3551.00,145.00,514746.00,3599.00,-48.00 ,                                             ,
17,Bottlers Nepal (Terai) Limited,3,13109.70,12852.70,13109.70,30.00,388154.00,13115.00,-5.30 ,                                             ,
18,Buddha Bhumi Nepal Hydropower Company Limited,29,408.90,395.00,408.80,1596.00,643762.00,409.00,-0.20 ,                                             ,
19,Butwal Power Company Limited,91,344.70,326.50,334.00,5813.00,1930595.20,338.00,-4.00 ,                                             ,
20,CEDB Hydropower Development Company Limited,43,730.00,707.00,709.30,2825.00,2016831.00,720.00,-10.70 ,                                             ,
21,Central Finance Co. Ltd.,74,292.00,281.00,285.00,4899.00,1397047.50,288.00,-3.00 ,                                             ,
22,Century Commercial Bank Ltd.,131,199.90,196.00,199.00,14022.00,2767226.70,199.00,0.00 ,                                            ,
23,Chandragiri Hills Limited,49,1070.00,1050.00,1050.00,2310.00,2437794.00,1080.00,-30.00 ,                                             ,
24,Chhimek Laghubitta Bittiya Sanstha Limited,102,1037.90,1010.10,1020.00,4048.00,4140190.20,1027.00,-7.00 ,                                             ,
25,Chhyangdi Hydropower Ltd.,36,295.50,285.70,287.10,4813.00,1390859.60,297.00,-9.90 ,                                             ,
26,Chilime Hydropower Company Limited,90,405.00,394.00,399.90,8960.00,3582349.00,402.00,-2.10 ,                                             ,
27,Citizen Bank International Limited,104,227.40,219.00,223.10,14903.00,3296106.30,223.00,0.10 ,                                            ,
28,Citizen Investment Trust,242,2440.00,2390.00,2405.00,9364.00,22460917.80,2439.00,-34.00 ,                                             ,
29,Citizens Mutual Fund -1,18,8.80,8.63,8.80,35770.00,311031.40,8.84,-0.04 ,                                             ,
30,CITIZENS MUTUAL FUND 2,1,9.81,9.81,9.81,300.00,2943.00,9.67,0.14 ,                                            ,
31,Civil Bank Ltd,188,207.90,200.40,206.00,49918.00,10204856.80,200.10,5.90 ,                                            ,
32,Civil Laghubitta Bittiya Sanstha Ltd.,38,787.00,753.00,776.00,987.00,754709.00,787.00,-11.00 ,                                             ,
33,Corporate Development Bank Limited,128,325.00,309.00,317.00,13929.00,4394186.60,327.90,-10.90 ,                                             ,
34,Deprosc Laghubitta Bittiya Sanstha Limited,33,1018.90,980.00,998.00,1196.00,1184305.50,999.00,-1.00 ,                                             ,
35,Dibyashwori Hydropower Ltd.,43,222.00,216.10,222.00,3795.00,834750.00,220.50,1.50 ,                                            ,
36,Emerging Nepal Limited,47,729.00,701.00,719.00,1405.00,995191.00,727.00,-8.00 ,                                             ,
37,Everest Bank Limited,102,472.20,451.00,458.00,10641.00,4851733.60,463.00,-5.00 ,                                             ,
38,Excel Development Bank Ltd.,14,368.00,360.70,367.00,863.00,314077.50,368.00,-1.00 ,                                             ,
39,First Micro Finance Laghubitta Bittiya Sanstha Limited,36,642.00,625.00,633.00,1965.00,1243804.50,643.00,-10.00 ,                                             ,
40,Forward Microfinance Laghubitta Bittiya Sanstha Limited,85,2370.00,2325.00,2364.00,2332.00,5466639.00,2380.00,-16.00 ,                                             ,
41,Ganapati Laghubitta Bittiya Sanstha Limited,6,1005.00,993.40,995.00,213.00,212054.20,1012.50,-17.50 ,                                             ,
42,Garima Bikas Bank Limited,110,377.00,370.00,372.00,15634.00,5816919.30,376.00,-4.00 ,                                             ,
43,General Insurance Company Nepal Ltd,26,414.00,401.00,412.00,993.00,406045.00,416.10,-4.10 ,                                             ,
44,Ghalemdi Hydro Limited,112,221.30,213.00,215.00,14988.00,3230894.10,217.00,-2.00 ,                                             ,
45,Global IME Bank Limited,209,271.30,262.00,265.00,20911.00,5553387.80,266.00,-1.00 ,                                             ,
46,Global IME Laghubitta Bittiya Sanstha Ltd.,28,1275.00,1250.00,1250.00,969.00,1221708.00,1250.00,0.00 ,                                            ,
47,Global IME Samunnat Scheme-1,3,10.40,10.39,10.40,700.00,7275.00,10.35,0.05 ,                                            ,
48,Goodwill Finance Limited,46,426.00,411.00,411.00,2543.00,1058147.40,423.00,-12.00 ,                                             ,
49,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,21,751.00,736.40,743.00,771.00,571736.30,751.00,-8.00 ,                                             ,
50,Green Development Bank Ltd.,19,245.00,235.00,240.00,1356.00,321664.00,246.00,-6.00 ,                                             ,
51,Green Ventures Limited,452,291.60,270.00,291.60,27782.00,7899947.10,265.10,26.50 ,                                            ,
52,GreenLife Hydropower Limited,67,363.00,350.00,359.00,3111.00,1100721.50,363.00,-4.00 ,                                             ,
53,Guheshowori Merchant Bank & Finance Co. Ltd.,29,280.00,272.00,276.90,2321.00,638455.00,272.50,4.40 ,                                            ,
54,Gurans Laghubitta Bittiya Sanstha Limited,7,1049.60,1028.70,1030.00,202.00,208476.40,1071.00,-41.00 ,                                             ,
55,Gurkhas Finance Ltd.,90,402.90,382.20,385.00,15505.00,6094030.60,395.00,-10.00 ,                                             ,
56,Himal Dolakha Hydropower Company Limited,124,221.30,213.70,217.20,21057.00,4545592.40,217.90,-0.70 ,                                             ,
57,Himalaya Urja Bikas Company Limited,30,265.00,254.00,258.00,3948.00,1016584.10,261.00,-3.00 ,                                             ,
